
 num     #instances         #bytes  class name
  97:         64503        1032048  io.github.giovibal.mqtt.parser.UnsubAckDecoder
  98:         64503        1032048  io.github.giovibal.mqtt.parser.UnsubscribeDecoder
  99:         64503        1032048  io.netty.handler.timeout.IdleStateHandler$1
 100:         64503        1032048  io.vertx.core.net.impl.NetSocketImpl$$Lambda$47/1230589605
 101:         21840         873008  [Z
 102:         28880         693120  java.util.Formatter$FixedString
 103:         39720         635520  java.util.Formatter$Flags
 104:         29729         475664  java.nio.channels.spi.AbstractInterruptibleChannel$1
 105:          4140         462496  java.lang.Class
 106:         15427         370248  io.netty.channel.AbstractChannel$AbstractUnsafe$7
 107:          3610         346560  [Ljava.util.Formatter$FormatString;
 108:          3610         231040  java.util.regex.Matcher
 109:          2119         186472  java.lang.reflect.Method
 110:          3611         173328  java.nio.HeapCharBuffer
 111:          3610         115520  java.util.Formatter
 112:          1543          98752  java.nio.DirectByteBuffer
 113:          3612          86680  [Ljava.util.logging.Handler;
 114:          1014          73008  java.lang.reflect.Field
 115:          1730          69200  java.util.TreeMap$Entry
 116:          2745          64968  [Ljava.lang.Class;
 117:           865          55360  io.netty.buffer.PoolSubpage
 118:            78          51168  io.netty.util.internal.shaded.org.jctools.queues.MpscArrayQueue
 119:          1418          45376  sun.security.util.DerInputBuffer
 120:          1418          45376  sun.security.util.DerValue
 121:           560          44800  java.lang.reflect.Constructor
 122:           975          39000  java.math.BigInteger
 123:           828          34832  [Ljava.lang.String;
 124:          1418          34032  sun.security.util.DerInputStream
 125:          1406          33744  [Lsun.security.x509.AVA;
 126:          1406          33744  sun.security.x509.AVA
 127:          1406          33744  sun.security.x509.RDN
 128:          1051          33632  java.io.ObjectStreamClass$WeakClassKey
 129:          1315          31560  java.lang.Long
 130:          1805          28880  io.vertx.core.net.impl.VertxHandler$$Lambda$56/1831286083
 131:           722          28880  java.lang.ref.SoftReference
 132:           850          27200  java.util.Hashtable$Entry
 133:             7          24688  [Ljava.nio.ByteBuffer;
 134:          1527          24432  io.vertx.core.net.impl.VertxHandler$$Lambda$55/1830044585
 135:           433          24248  java.lang.Class$ReflectionData
 136:           226          23504  java.io.ObjectStreamClass
 137:           485          23280  java.util.TreeMap
 138:           699          22368  sun.security.util.ObjectIdentifier
 139:           243          22072  [Ljava.util.Hashtable$Entry;
 140:           355          19880  java.lang.invoke.MemberName
 141:           288          18432  java.util.concurrent.ConcurrentHashMap
 142:           369          17712  sun.security.x509.X500Name
 143:           523          16736  sun.security.x509.AlgorithmId
 144:           446          14272  java.util.Vector
 145:           174          13920  sun.security.x509.X509CertImpl
 146:           106          13136  [J
 147:           532          12768  java.util.ArrayList
 148:           195          12504  [Ljava.lang.reflect.Method;
 149:           369          12448  [Lsun.security.x509.RDN;
 150:            49          12432  [Lio.netty.buffer.PoolSubpage;
 151:           213          11928  sun.security.ssl.CipherSuite
 152:           298          11920  java.lang.invoke.MethodType
 153:           196          10976  java.security.Provider$Service
 154:            19          10944  io.netty.util.internal.shaded.org.jctools.queues.MpscChunkedArrayQueue
 155:           341          10912  sun.misc.FDBigInteger
 156:           227          10896  java.util.Hashtable
 157:           320          10240  java.lang.invoke.MethodType$ConcurrentWeakInternSet$WeakEntry
 158:           411           9864  java.security.Provider$ServiceKey
 159:           174           9744  sun.security.util.MemoryCache$SoftCacheEntry
 160:           174           9744  sun.security.x509.X509CertInfo
 161:           287           9184  java.lang.invoke.LambdaForm$Name
 162:           126           9072  sun.reflect.DelegatingClassLoader
 163:           225           9000  java.security.ProtectionDomain
 164:           183           8784  java.util.logging.LogManager$LoggerWeakRef
 165:           144           8640  [Ljava.lang.ref.SoftReference;
 166:           357           8568  java.util.Date
 167:            21           7896  java.lang.Thread
 168:            99           7856  [S
 169:           196           7840  java.io.ObjectStreamField
 170:           184           7360  java.util.WeakHashMap$Entry
 171:           220           7040  java.security.CodeSource
 172:           122           6832  java.lang.Package
 173:           284           6816  javax.management.openmbean.CompositeDataSupport
 174:            90           6480  java.util.logging.Logger
 175:           162           6480  sun.security.rsa.RSAPublicKeyImpl
 176:           260           6224  [Ljava.lang.reflect.Constructor;
 177:           192           6144  java.lang.ref.WeakReference
 178:           196           6088  [Ljavax.management.ObjectName$Property;
 179:           144           5760  io.netty.buffer.PoolChunkList
 180:           121           5712  [Ljava.lang.reflect.Field;
 181:           172           5504  java.util.Collections$SynchronizedMap
 182:            59           5440  [Ljava.util.WeakHashMap$Entry;
 183:           165           5280  sun.security.x509.BasicConstraintsExtension
 184:           158           5056  sun.security.x509.SubjectKeyIdentifierExtension
 185:           104           4992  java.lang.invoke.LambdaForm
 186:           109           4944  [Ljava.lang.invoke.LambdaForm$Name;
 187:           154           4928  sun.security.x509.KeyUsageExtension
 188:           291           4656  java.util.HashSet
 189:           291           4656  java.util.TreeMap$KeySet
 190:           145           4640  java.util.TreeMap$KeyIterator
 191:           193           4632  javax.management.ImmutableDescriptor
 192:           143           4576  java.lang.invoke.DirectMethodHandle
 193:           114           4560  java.io.ObjectStreamClass$FieldReflectorKey
 194:            80           4480  java.lang.invoke.MethodTypeForm
 195:           137           4384  java.util.logging.LogManager$LogNode
 196:           174           4176  java.util.Collections$UnmodifiableRandomAccessList
 197:           174           4176  sun.security.util.BitArray
 198:           174           4176  sun.security.util.Cache$EqualByteArray
 199:           174           4176  sun.security.x509.CertificateValidity
 200:           130           4160  com.sun.jmx.mbeanserver.ConvertingMethod
 201:           171           4104  javax.management.Attribute
 202:           256           4096  java.lang.Byte
 203:           256           4096  java.lang.Short
 204:           170           4080  sun.reflect.NativeConstructorAccessorImpl
 205:           165           3960  sun.security.x509.CertificateExtensions
 206:           120           3840  io.netty.util.internal.chmv8.LongAdderV8
 207:           156           3744  java.util.Arrays$ArrayList
 208:           225           3600  [Ljava.security.Principal;
 209:            90           3600  java.io.ObjectOutputStream$HandleTable
 210:           150           3600  java.io.SerialCallbackContext
 211:           225           3600  java.security.ProtectionDomain$Key
 212:            44           3520  java.net.URI
 213:           211           3376  sun.security.x509.KeyIdentifier
 214:           139           3336  com.mongodb.internal.connection.ConcurrentLinkedDeque$Node
 215:            81           3240  java.util.HashMap$KeyIterator
 216:            45           3240  sun.rmi.transport.ConnectionInputStream
 217:            45           3240  sun.rmi.transport.ConnectionOutputStream
 218:            51           3144  [Ljava.io.ObjectInputStream$HandleTable$HandleList;
 219:            97           3104  java.rmi.server.UID
 220:           129           3096  java.lang.invoke.LambdaForm$NamedFunction
 221:            77           3080  javax.management.ObjectName
 222:           190           3040  sun.security.x509.SerialNumber
 223:            31           3008  [Ljava.lang.invoke.MethodHandle;
 224:           125           3000  javax.management.ObjectName$Property
 225:            45           2880  javax.management.openmbean.OpenMBeanAttributeInfoSupport
 226:           178           2848  sun.reflect.DelegatingConstructorAccessorImpl
 227:           174           2784  sun.security.x509.CertificateAlgorithmId
 228:           174           2784  sun.security.x509.CertificateSerialNumber
 229:           174           2784  sun.security.x509.CertificateVersion
 230:           174           2784  sun.security.x509.CertificateX509Key
 231:            51           2664  [Ljavax.management.MBeanAttributeInfo;
 232:           110           2640  java.util.Collections$UnmodifiableCollection$1
 233:            54           2592  java.util.WeakHashMap
 234:           137           2568  [Lcom.sun.jmx.mbeanserver.MXBeanMapping;
 235:            45           2520  java.io.ObjectInputStream$BlockDataInputStream
 236:            63           2520  java.lang.ref.Finalizer
 237:            78           2496  java.lang.ref.ReferenceQueue
 238:            39           2496  java.net.URL
 239:           103           2472  [[C
 240:            50           2400  javax.management.MBeanInfo
 241:            98           2352  java.security.Provider$UString
 242:            84           2336  [Ljava.io.ObjectStreamField;
 243:            72           2304  io.netty.buffer.PoolThreadCache$SubPageMemoryRegionCache
 244:            69           2208  javax.management.MBeanAttributeInfo
 245:            53           2120  sun.security.ec.NamedCurve
 246:            53           2120  sun.security.x509.AuthorityKeyIdentifierExtension
 247:            88           2112  java.io.ObjectStreamClass$ClassDataSlot
 248:            88           2112  java.util.jar.Attributes$Name
 249:             2           2080  [Lio.netty.util.Recycler$DefaultHandle;
 250:           128           2048  java.lang.Character
 251:            63           2016  java.io.DataOutputStream
 252:            28           2016  javax.management.remote.rmi.RMIConnectionImpl$CombinedClassLoader
 253:            28           2016  javax.management.remote.rmi.RMIConnectionImpl$CombinedClassLoader$ClassLoaderWrapper
 254:            27           1944  com.sun.jmx.remote.util.OrderClassLoaders
 255:            39           1872  sun.util.locale.LocaleObjectCache$CacheEntry
 256:            45           1800  java.io.ObjectOutputStream$BlockDataOutputStream
 257:            75           1800  sun.reflect.generics.tree.SimpleClassTypeSignature
 258:            36           1728  java.lang.management.MemoryUsage
 259:            70           1696  [Ljava.io.ObjectStreamClass$ClassDataSlot;
 260:            53           1696  java.security.spec.EllipticCurve
 261:             4           1672  [[B
 262:           103           1648  sun.reflect.DelegatingMethodAccessorImpl
 263:            51           1632  com.mongodb.internal.connection.ConcurrentPool
 264:            12           1632  io.netty.buffer.PoolArena$DirectArena
 265:            12           1632  io.netty.buffer.PoolArena$HeapArena
 266:             4           1632  io.vertx.core.impl.VertxThread
 267:            51           1632  java.io.DataInputStream
 268:            51           1632  java.util.concurrent.Semaphore$FairSync
 269:            67           1608  java.lang.Class$AnnotationData
 270:            40           1600  sun.reflect.UnsafeQualifiedStaticLongFieldAccessorImpl
 271:            66           1584  java.security.spec.ECPoint
 272:            47           1504  sun.rmi.transport.StreamRemoteCall
 273:            47           1504  sun.rmi.transport.Transport$1
 274:            26           1456  sun.nio.cs.UTF_8$Encoder
 275:            45           1440  java.io.ObjectInputStream$HandleTable
 276:            36           1440  sun.management.DiagnosticCommandArgumentInfo
 277:            90           1440  sun.rmi.transport.Transport$$Lambda$54/1508417226
 278:            89           1424  sun.security.x509.GeneralName
 279:            44           1408  sun.security.x509.URIName
 280:            75           1384  [Lsun.reflect.generics.tree.TypeArgument;
 281:             1           1376  [Lsun.misc.FDBigInteger;
 282:            42           1344  javax.management.AttributeList
 283:             9           1296  io.netty.channel.nio.NioEventLoop
 284:            55           1288  [Ljava.lang.reflect.Type;
 285:            39           1280  [Ljava.math.BigInteger;
 286:            80           1280  java.lang.ref.ReferenceQueue$Lock
 287:            52           1248  com.mongodb.internal.connection.ConcurrentLinkedDeque
 288:            26           1248  sun.management.DiagnosticCommandInfo
 289:            31           1240  java.security.AccessControlContext
 290:            51           1224  java.util.regex.Pattern$Slice
 291:            50           1200  com.mongodb.internal.connection.PowerOfTwoBufferPool$1
 292:            30           1200  java.io.ObjectStreamClass$FieldReflector
 293:            30           1200  java.math.BigDecimal
 294:            30           1200  sun.reflect.UnsafeQualifiedStaticObjectFieldAccessorImpl
 295:            75           1200  sun.reflect.generics.tree.ClassTypeSignature
 296:            49           1176  java.rmi.server.ObjID
 297:            36           1152  java.security.cert.PolicyQualifierInfo
 298:            36           1152  java.util.concurrent.locks.AbstractQueuedSynchronizer$Node
 299:            48           1152  sun.rmi.transport.ObjectEndpoint
 300:             2           1144  [Lorg.bson.BsonType;
 301:             4           1128  [Ljava.lang.Integer;
 302:            14           1120  [Ljava.lang.ThreadLocal$ThreadLocalMap$Entry;
 303:            35           1120  sun.security.x509.DistributionPoint
 304:            46           1104  [Lcom.fasterxml.jackson.databind.JavaType;
 305:            45           1080  java.io.ObjectInputStream$PeekInputStream
 306:            45           1080  java.io.ObjectOutputStream$ReplaceTable
 307:            22           1056  com.fasterxml.jackson.databind.type.SimpleType
 308:            66           1056  sun.security.x509.GeneralNames
 309:             1           1040  [Ljava.lang.Byte;
