
 num     #instances         #bytes  class name
  97:            78          51168  io.netty.util.internal.shaded.org.jctools.queues.MpscArrayQueue
  98:          1497          35928  java.lang.Long
  99:          1051          33632  java.io.ObjectStreamClass$WeakClassKey
 100:           690          27600  java.lang.ref.SoftReference
 101:           850          27200  java.util.Hashtable$Entry
 102:           322          25760  java.lang.reflect.Constructor
 103:           616          25352  [Ljava.lang.String;
 104:             7          24688  [Ljava.nio.ByteBuffer;
 105:           914          22504  [Ljava.lang.Class;
 106:           424          20352  java.util.TreeMap
 107:           195          20280  java.io.ObjectStreamClass
 108:           328          18368  java.lang.invoke.MemberName
 109:           437          17480  java.math.BigInteger
 110:           130          14840  [Ljava.util.Hashtable$Entry;
 111:            49          12432  [Lio.netty.buffer.PoolSubpage;
 112:            78          12160  [J
 113:           213          11928  sun.security.ssl.CipherSuite
 114:           298          11920  java.lang.invoke.MethodType
 115:           196          10976  java.security.Provider$Service
 116:            19          10944  io.netty.util.internal.shaded.org.jctools.queues.MpscChunkedArrayQueue
 117:           341          10912  sun.misc.FDBigInteger
 118:           410           9840  java.security.Provider$ServiceKey
 119:           174           9744  sun.security.util.MemoryCache$SoftCacheEntry
 120:           298           9536  java.lang.invoke.MethodType$ConcurrentWeakInternSet$WeakEntry
 121:           394           9456  java.lang.StringBuilder
 122:           390           9360  java.util.ArrayList
 123:           388           9312  javax.management.openmbean.CompositeDataSupport
 124:           183           8784  java.util.logging.LogManager$LoggerWeakRef
 125:           144           8640  [Ljava.lang.ref.SoftReference;
 126:           251           8032  java.lang.invoke.LambdaForm$Name
 127:            21           7896  java.lang.Thread
 128:            99           7856  [S
 129:           242           7744  java.util.TreeMap$KeyIterator
 130:           184           7360  java.util.WeakHashMap$Entry
 131:           110           7040  java.util.concurrent.ConcurrentHashMap
 132:           217           6944  java.util.Vector
 133:           122           6832  java.lang.Package
 134:            94           6768  sun.reflect.DelegatingClassLoader
 135:            90           6480  java.util.logging.Logger
 136:           207           6384  [Ljavax.management.ObjectName$Property;
 137:           397           6352  java.util.TreeMap$KeySet
 138:            86           6192  java.lang.reflect.Field
 139:           192           6144  java.lang.ref.WeakReference
 140:           144           5760  io.netty.buffer.PoolChunkList
 141:           114           5472  java.util.Hashtable
 142:            59           5440  [Ljava.util.WeakHashMap$Entry;
 143:           130           5200  java.io.ObjectStreamField
 144:           216           5184  java.util.Collections$UnmodifiableRandomAccessList
 145:           193           4632  javax.management.ImmutableDescriptor
 146:           114           4560  java.io.ObjectStreamClass$FieldReflectorKey
 147:           189           4536  java.util.Arrays$ArrayList
 148:            80           4480  java.lang.invoke.MethodTypeForm
 149:           112           4480  java.security.ProtectionDomain
 150:           137           4384  java.util.logging.LogManager$LogNode
 151:           133           4256  java.lang.invoke.DirectMethodHandle
 152:           175           4200  java.util.Collections$UnmodifiableCollection$1
 153:            87           4176  java.lang.invoke.LambdaForm
 154:           174           4176  sun.security.util.Cache$EqualByteArray
 155:            92           4168  [Ljava.lang.invoke.LambdaForm$Name;
 156:           130           4160  com.sun.jmx.mbeanserver.ConvertingMethod
 157:           171           4104  javax.management.Attribute
 158:           256           4096  java.lang.Byte
 159:           256           4096  java.lang.Short
 160:           120           3840  io.netty.util.internal.chmv8.LongAdderV8
 161:            92           3680  java.io.ObjectOutputStream$HandleTable
 162:           150           3600  java.io.SerialCallbackContext
 163:           107           3424  java.security.CodeSource
 164:            46           3312  sun.rmi.transport.ConnectionOutputStream
 165:            82           3280  javax.management.ObjectName
 166:            45           3240  sun.rmi.transport.ConnectionInputStream
 167:           101           3232  sun.security.util.ObjectIdentifier
 168:           134           3216  javax.management.ObjectName$Property
 169:            51           3144  [Ljava.io.ObjectInputStream$HandleTable$HandleList;
 170:            98           3136  java.rmi.server.UID
 171:            31           3008  [Ljava.lang.invoke.MethodHandle;
 172:           122           2928  sun.reflect.NativeConstructorAccessorImpl
 173:           120           2880  java.lang.invoke.LambdaForm$NamedFunction
 174:            45           2880  javax.management.openmbean.OpenMBeanAttributeInfoSupport
 175:           115           2760  com.mongodb.internal.connection.ConcurrentLinkedDeque$Node
 176:            51           2664  [Ljavax.management.MBeanAttributeInfo;
 177:            14           2624  [Z
 178:           162           2592  java.util.HashSet
 179:            54           2592  java.util.WeakHashMap
 180:           137           2568  [Lcom.sun.jmx.mbeanserver.MXBeanMapping;
 181:            45           2520  java.io.ObjectInputStream$BlockDataInputStream
 182:            63           2520  java.lang.ref.Finalizer
 183:            78           2496  java.lang.ref.ReferenceQueue
 184:            39           2496  java.net.URL
 185:           103           2472  [[C
 186:            50           2400  javax.management.MBeanInfo
 187:            98           2352  java.security.Provider$UString
 188:            72           2304  io.netty.buffer.PoolThreadCache$SubPageMemoryRegionCache
 189:            48           2304  java.lang.management.MemoryUsage
 190:            69           2208  javax.management.MBeanAttributeInfo
 191:            53           2120  sun.security.ec.NamedCurve
 192:             2           2080  [Lio.netty.util.Recycler$DefaultHandle;
 193:           128           2048  java.lang.Character
 194:           122           1952  sun.reflect.DelegatingConstructorAccessorImpl
 195:            60           1920  java.io.DataOutputStream
